Song Name,Artist Name,Debut Date,Peak Pos,Peak Weeks,Peak Date
Send The Pain Below,Chevelle,02.08.03,1,4 WKS,07.12.03
Face To The Floor,Chevelle,10.22.11,1,12 WKS,12.03.11
Hats Off To The Bull,Chevelle,03.10.12,2,12 Wks,06.09.12
Jars,Chevelle,07.11.09,3,12 Wks,10.24.09
The Clincher,Chevelle,01.22.05,3,12 Wks,05.07.05
Vitamin R (Leading Us Along),Chevelle,08.21.04,1,2 WKS,12.18.04
Mars Simula,Chevelle,05.15.21,3,12 Wks,09.25.21
I Get It,Chevelle,06.30.07,5,12 Wks,09.01.07
Same Old Trip,Chevelle,09.29.12,7,12 Wks,02.16.13
Closure,Chevelle,09.20.03,17,12 Wks,01.24.04
Door To Door Cannibals,Chevelle,10.15.16,11,12 Wks,01.28.17
Take Out The Gunman,Chevelle,02.22.14,1,3 WKS,04.26.14
Letter From A Thief,Chevelle,12.26.09,3,12 Wks,04.10.10
Joyride (Omen),Chevelle,05.28.16,1,4 WKS,08.13.16
Self Destructor,Chevelle,01.16.21,1,3 WKS,03.20.21
Well Enough Alone,Chevelle,02.17.07,4,12 Wks,04.21.07
Hunter Eats Hunter,Chevelle,07.12.14,10,12 Wks,09.06.14
The Fad,Chevelle,02.02.08,13,12 Wks,03.08.08
Sleep Walking Elite,Chevelle,11.10.18,27,12 Wks,12.01.18
An Island,Chevelle,11.15.14,17,12 Wks,12.27.14
Panic Prone,Chevelle,08.06.05,26,12 Wks,09.03.05
Rivers,Chevelle,06.03.17,22,12 Wks,08.05.17
Shameful Metaphors,Chevelle,09.04.10,28,12 Wks,10.16.10
Point #1,Chevelle,02.26.00,40,12 Wks,02.26.00
Steam,Peter Gabriel,11.07.92,2,12 Wks,12.19.92
In Your Eyes,Peter Gabriel,06.21.86,1,1 WKS,09.13.86
Big Time,Peter Gabriel,11.29.86,3,12 Wks,01.17.87
Sledgehammer,Peter Gabriel,05.03.86,1,2 WKS,05.31.86
Digging In The Dirt,Peter Gabriel,09.12.92,1,1 WKS,10.31.92
Red Rain,Peter Gabriel,06.14.86,3,12 Wks,07.26.86
SHOCK THE MONKEY,Peter Gabriel,10.02.82,1,2 WKS,11.13.82
Kiss That Frog,Peter Gabriel,03.06.93,18,12 Wks,03.20.93
That Voice Again,Peter Gabriel,10.18.86,14,12 Wks,11.15.86
I Go Swimming,Peter Gabriel,08.06.83,38,12 Wks,08.06.83
Secret World,Peter Gabriel,07.17.93,34,12 Wks,07.24.93
I HAVE THE TOUCH,Peter Gabriel,12.25.82,46,12 Wks,12.25.82
Red Rain (Live),Peter Gabriel,10.01.94,33,12 Wks,10.08.94
Kiss Of Life,Peter Gabriel,10.30.82,34,12 Wks,10.30.82
Fire And Ice,Pat Benatar,07.18.81,2,12 Wks,08.01.81
Promises In The Dark,Pat Benatar,07.25.81,16,12 Wks,09.26.81
SHADOWS OF THE NIGHT,Pat Benatar,10.16.82,3,12 Wks,11.06.82
Just Like Me,Pat Benatar,07.18.81,15,12 Wks,09.26.81
Love Is A Battlefield,Pat Benatar,10.01.83,1,4 WKS,10.22.83
LOOKING FOR A STRANGER,Pat Benatar,12.11.82,4,12 Wks,01.15.83
Invincible,Pat Benatar,06.29.85,4,12 Wks,08.03.85
We Belong,Pat Benatar,10.27.84,3,12 Wks,11.24.84
All Fired Up,Pat Benatar,07.02.88,2,12 Wks,08.06.88
Sex As A Weapon,Pat Benatar,11.23.85,5,12 Wks,12.21.85
Everybody Lay Down,Pat Benatar,05.29.93,3,12 Wks,06.26.93
Take It Anyway You Want It,Pat Benatar,07.25.81,32,12 Wks,08.15.81
Payin' The Cost To Be The Boss,Pat Benatar,04.06.91,17,12 Wks,04.27.91
Diamond Field,Pat Benatar,12.08.84,20,12 Wks,12.22.84
Little Too Late,Pat Benatar,03.05.83,38,12 Wks,03.19.83
Le Bel Age,Pat Benatar,01.25.86,19,12 Wks,02.15.86
ooh-ooh Song,Pat Benatar,01.19.85,22,12 Wks,02.09.85
Don't Walk Away,Pat Benatar,09.24.88,44,12 Wks,10.15.88
THE VICTIM,Pat Benatar,12.18.82,23,12 Wks,12.18.82
Treat Me Right,Pat Benatar,03.21.81,31,12 Wks,03.21.81
Amnesia,Red Sun Rising,08.27.16,6,12 Wks,02.18.17
Emotionless,Red Sun Rising,01.23.16,1,2 WKS,05.07.16
The Otherside,Red Sun Rising,06.27.15,1,1 WKS,10.31.15
Deathwish,Red Sun Rising,01.27.18,7,12 Wks,05.26.18
Veins,Red Sun Rising,09.22.18,30,12 Wks,10.13.18
I Miss The Misery,Halestorm,07.14.12,2,12 Wks,09.29.12
I Get Off,Halestorm,04.18.09,6,12 Wks,08.01.09
Freak Like Me,Halestorm,12.29.12,1,2 WKS,04.13.13
It's Not You,Halestorm,11.21.09,8,12 Wks,03.20.10
Love Bites (So Do I),Halestorm,02.11.12,2,12 Wks,05.19.12
I Am The Fire,Halestorm,09.19.15,3,12 Wks,12.26.15
Here's To Us,Halestorm,06.08.13,15,12 Wks,09.14.13
Mz. Hyde,Halestorm,11.09.13,15,12 Wks,02.22.14
Uncomfortable,Halestorm,06.16.18,1,2 WKS,08.25.18
Black Vultures,Halestorm,09.14.19,25,12 Wks,11.30.19
Do Not Disturb,Halestorm,11.03.18,8,12 Wks,02.23.19
Apocalyptic,Halestorm,01.31.15,1,1 WKS,03.28.15
Mayhem,Halestorm,03.12.16,7,12 Wks,07.02.16
Amen,Halestorm,05.16.15,1,1 WKS,08.01.15
Back From The Dead,Halestorm,08.28.21,1,1 WKS,11.06.21
The Steeple,Halestorm,02.19.22,1,1 WKS,06.04.22
Wicked Ways,Halestorm,07.30.22,15,12 Wks,10.29.22
Vicious,Halestorm,04.20.19,13,12 Wks,06.22.19
Still Of The Night,Halestorm,02.04.17,20,12 Wks,03.11.17
Familiar Taste Of Poison,Halestorm,07.31.10,36,12 Wks,08.14.10
Bet U Wish U Had Me Back,Halestorm,01.29.11,33,12 Wks,02.19.11
Crazy Bitch,Buckcherry,03.04.06,3,12 Wks,06.24.06
Lit Up,Buckcherry,03.27.99,1,3 WKS,06.05.99
Everything,Buckcherry,01.27.07,6,12 Wks,04.28.07
Rescue Me,Buckcherry,11.29.08,11,12 Wks,04.04.09
Next 2 You,Buckcherry,08.26.06,18,12 Wks,11.18.06
All Night Long,Buckcherry,06.05.10,10,12 Wks,08.21.10
Too Drunk...,Buckcherry,08.02.08,7,12 Wks,09.27.08
Talk To Me,Buckcherry,07.25.09,17,12 Wks,10.03.09
Ridin',Buckcherry,02.24.01,9,12 Wks,04.21.01
Dead,Buckcherry,10.23.10,17,12 Wks,01.01.11
Gluttony,Buckcherry,01.19.13,24,12 Wks,03.30.13
Sorry,Buckcherry,03.08.08,32,12 Wks,03.29.08
Broken Glass,Buckcherry,07.28.07,28,12 Wks,08.11.07
For The Movies,Buckcherry,08.21.99,25,12 Wks,09.25.99
Bent,Buckcherry,03.02.19,31,12 Wks,05.04.19
Bring It On Back,Buckcherry,07.18.15,30,12 Wks,10.03.15
It's A Party,Buckcherry,02.05.11,30,12 Wks,02.19.11
Check Your Head,Buckcherry,02.19.00,29,12 Wks,03.04.00
Dead Again,Buckcherry,12.04.99,38,12 Wks,12.04.99
Your Decision,Alice In Chains,12.19.09,1,8 WKS,02.27.10
Check My Brain,Alice In Chains,08.29.09,1,8 WKS,10.03.09
Would?,Alice In Chains,08.08.92,19,12 Wks,12.14.96
No Excuses,Alice In Chains,02.12.94,1,2 WKS,03.26.94
I Stay Away,Alice In Chains,05.14.94,10,12 Wks,07.02.94
Over Now,Alice In Chains,08.03.96,4,12 Wks,09.21.96
Heaven Beside You,Alice In Chains,12.23.95,3,12 Wks,03.16.96
Again,Alice In Chains,05.11.96,8,12 Wks,07.06.96
Down In A Hole,Alice In Chains,10.02.93,10,12 Wks,12.11.93
Got Me Wrong,Alice In Chains,12.31.94,7,12 Wks,03.04.95
Rooster,Alice In Chains,03.13.93,7,12 Wks,04.24.93
Man In The Box,Alice In Chains,04.13.91,18,12 Wks,07.06.91
Lesson Learned,Alice In Chains,06.26.10,4,12 Wks,09.04.10
Hollow,Alice In Chains,01.05.13,1,5 WKS,03.02.13
Stone,Alice In Chains,04.13.13,1,3 WKS,06.22.13
Voices,Alice In Chains,08.17.13,3,12 Wks,11.23.13
Get Born Again,Alice In Chains,06.12.99,4,12 Wks,07.17.99
The One You Know,Alice In Chains,05.19.18,9,12 Wks,07.21.18
Grind,Alice In Chains,10.21.95,7,12 Wks,11.25.95
Fear The Voices,Alice In Chains,10.30.99,11,12 Wks,11.20.99
Never Fade,Alice In Chains,09.08.18,10,12 Wks,10.27.18
What The Hell Have I,Alice In Chains,07.03.93,19,12 Wks,08.28.93
Rainier Fog,Alice In Chains,03.30.19,20,12 Wks,05.04.19
A Looking In View,Alice In Chains,07.18.09,12,12 Wks,08.29.09
Sea Of Sorrow,Alice In Chains,09.14.91,27,12 Wks,10.19.91
Them Bones,Alice In Chains,10.17.92,24,12 Wks,11.21.92
Don't Follow,Alice In Chains,10.29.94,25,12 Wks,12.03.94
Angry Chair,Alice In Chains,01.30.93,34,12 Wks,02.20.93
Man In The Box (Live),Alice In Chains,12.30.00,39,12 Wks,12.30.00
Rock & Roll Girls,John Fogerty,01.19.85,5,12 Wks,02.23.85
The Old Man Down The Road,John Fogerty,12.22.84,1,3 WKS,01.26.85
Premonition,John Fogerty,06.06.98,19,12 Wks,07.18.98
Change In The Weather,John Fogerty,09.27.86,3,12 Wks,11.15.86
Centerfield,John Fogerty,03.30.85,4,12 Wks,05.04.85
Walking In A Hurricane,John Fogerty,06.21.97,14,12 Wks,07.19.97
Eye Of The Zombie,John Fogerty,08.30.86,3,12 Wks,09.20.86
Headlines,John Fogerty,10.04.86,27,12 Wks,10.11.86
Blueboy,John Fogerty,10.04.97,32,12 Wks,11.01.97
CUTS LIKE A KNIFE,Bryan Adams,02.12.83,6,12 Wks,05.14.83
Heaven,Bryan Adams,01.28.84,9,12 Wks,02.18.84
Lonely Nights,Bryan Adams,01.23.82,3,12 Wks,02.20.82
Can't Stop This Thing We Started,Bryan Adams,09.14.91,2,12 Wks,09.28.91
Into The Fire,Bryan Adams,04.18.87,6,12 Wks,06.06.87
It's Only Love,Bryan Adams,11.24.84,7,12 Wks,12.22.84
Somebody,Bryan Adams,01.19.85,1,2 WKS,02.16.85
Run To You,Bryan Adams,11.03.84,1,4 WKS,11.17.84
TAKE ME BACK,Bryan Adams,02.19.83,21,12 Wks,03.26.83
There Will Never Be Another Tonight,Bryan Adams,12.07.91,6,12 Wks,01.25.92
One Night Love Affair,Bryan Adams,08.31.85,7,12 Wks,10.05.85
Hearts On Fire,Bryan Adams,05.30.87,3,12 Wks,07.11.87
FITS YOU GOOD,Bryan Adams,04.03.82,15,12 Wks,05.15.82
Heat Of The Night,Bryan Adams,03.28.87,2,12 Wks,05.09.87
(Everything I Do) I Do It For You,Bryan Adams,06.29.91,10,12 Wks,08.10.91
Diana,Bryan Adams,07.13.85,21,12 Wks,08.03.85
THIS TIME,Bryan Adams,08.13.83,21,12 Wks,08.27.83
Victim Of Love,Bryan Adams,08.08.87,10,12 Wks,09.05.87
I'm READY,Bryan Adams,03.05.83,24,12 Wks,04.23.83
Young Lust,Bryan Adams,09.08.90,7,12 Wks,10.06.90
Touch The Hand,Bryan Adams,05.02.92,13,12 Wks,05.23.92
Thought I'd Died And Gone To Heaven,Bryan Adams,03.07.92,14,12 Wks,04.04.92
It's Only Love,Bryan Adams/Tina Turner,12.07.85,34,12 Wks,12.21.85
STRAIGHT FROM THE HEART,Bryan Adams,06.04.83,32,12 Wks,06.11.83
Summer Of 69',Bryan Adams,12.08.84,40,12 Wks,12.22.84
Kids Wanna Rock,Bryan Adams,12.15.84,42,12 Wks,01.05.85
Another Day,Bryan Adams,04.11.87,33,12 Wks,04.11.87
Christmas Time,Bryan Adams,12.28.85,31,12 Wks,01.11.86
THE ONLY ONE,Bryan Adams,02.19.83,44,12 Wks,02.19.83
Back To You,Bryan Adams,02.07.98,38,12 Wks,02.07.98
Like A Stone,Audioslave,02.01.03,1,12 WKS,04.19.03
Show Me How To Live,Audioslave,06.14.03,2,12 Wks,09.06.03
I Am The Highway,Audioslave,10.04.03,2,12 Wks,02.28.04
Cochise,Audioslave,10.12.02,2,12 Wks,12.21.02
Be Yourself,Audioslave,03.26.05,1,7 WKS,04.09.05
Doesn't Remind Me,Audioslave,07.16.05,2,12 Wks,10.22.05
Original Fire,Audioslave,07.29.06,4,12 Wks,09.02.06
Revelations,Audioslave,10.21.06,6,12 Wks,01.13.07
Out Of Exile,Audioslave,12.03.05,9,12 Wks,02.25.06
What You Are,Audioslave,03.27.04,8,12 Wks,06.05.04
Your Time Has Come,Audioslave,05.14.05,12,12 Wks,07.02.05
We Got The Whip,Audioslave,02.05.05,40,12 Wks,02.05.05
Teardrops,Bring Me The Horizon,11.21.20,2,12 Wks,06.12.21
DiE4u,Bring Me The Horizon,10.02.21,5,12 Wks,02.12.22
"Go To Hell, For Heaven's Sake",Bring Me The Horizon,05.25.13,22,12 Wks,11.09.13
Happy Song,Bring Me The Horizon,01.16.16,2,12 Wks,05.28.16
Throne,Bring Me The Horizon,08.15.15,1,2 WKS,12.05.15
Mantra,Bring Me The Horizon,09.08.18,5,12 Wks,01.26.19
Drown,Bring Me The Horizon,01.03.15,8,12 Wks,05.09.15
Sleepwalking,Bring Me The Horizon,01.25.14,14,12 Wks,05.03.14
wonderful life,Bring Me The Horizon Featuring Dani Filth,02.09.19,18,12 Wks,05.18.19
Strangers,Bring Me The Horizon,07.23.22,10,12 Wks,10.15.22
Parasite Eve,Bring Me The Horizon,07.11.20,18,12 Wks,09.12.20
Lost,Bring Me The Horizon,06.03.23,18,12 Wks,09.02.23
Ludens,Bring Me The Horizon,12.21.19,22,12 Wks,02.01.20
Can You Feel My Heart,Bring Me The Horizon,07.19.14,26,12 Wks,08.30.14
sugar honey ice & tea,Bring Me The Horizon,08.31.19,33,12 Wks,10.19.19
DArkSide,Bring Me The Horizon,12.09.23,31,12 Wks,01.06.24
Kool-Aid,Bring Me The Horizon,01.27.24,37,12 Wks,02.17.24
Gold On The Ceiling,The Black Keys,04.07.12,9,12 Wks,08.04.12
Lonely Boy,The Black Keys,11.19.11,5,12 Wks,03.17.12
Wild Child,The Black Keys,03.19.22,3,12 Wks,07.16.22
Little Black Submarines,The Black Keys,09.01.12,14,12 Wks,11.24.12
Lo/Hi,The Black Keys,03.16.19,1,2 WKS,05.11.19
Go,The Black Keys,07.20.19,15,12 Wks,10.19.19
Fever,The Black Keys,04.12.14,12,12 Wks,05.31.14
Gotta Get Away,The Black Keys,08.16.14,11,12 Wks,10.25.14
Shine A Little Light,The Black Keys,02.08.20,25,12 Wks,04.18.20
Weight Of Love,The Black Keys,02.07.15,21,12 Wks,03.14.15
Beautiful People (Stay High),The Black Keys,01.27.24,24,12 Wks,03.02.24
Howlin' For You,The Black Keys,05.28.11,39,12 Wks,05.28.11
Spoonman,Soundgarden,03.05.94,3,12 Wks,05.07.94
Black Hole Sun,Soundgarden,05.14.94,1,7 WKS,07.16.94
Fell On Black Days,Soundgarden,08.27.94,4,12 Wks,10.22.94
Pretty Noose,Soundgarden,05.04.96,4,12 Wks,06.22.96
Blow Up The Outside World,Soundgarden,10.19.96,1,4 WKS,12.28.96
Burden In My Hand,Soundgarden,06.15.96,1,5 WKS,08.31.96
Live To Rise,Soundgarden,04.21.12,1,6 WKS,05.19.12
Been Away Too Long,Soundgarden,10.13.12,1,7 WKS,12.22.12
By Crooked Steps,Soundgarden,02.23.13,1,2 WKS,05.04.13
My Wave,Soundgarden,11.05.94,11,12 Wks,12.17.94
Halfway There,Soundgarden,07.06.13,13,12 Wks,09.07.13
The Day I Tried To Live,Soundgarden,03.25.95,13,12 Wks,05.20.95
Rhinosaur,Soundgarden,03.29.97,19,12 Wks,05.03.97
Black Rain,Soundgarden,08.28.10,10,12 Wks,09.18.10
Bleed Together,Soundgarden,11.08.97,13,12 Wks,11.29.97
Outshined,Soundgarden,01.11.92,45,12 Wks,02.08.92
Pink,Aerosmith,05.17.97,1,4 WKS,09.06.97
Falling In Love (Is Hard On The Knees),Aerosmith,03.01.97,1,5 WKS,03.08.97
Deuces Are Wild,Aerosmith,01.15.94,1,4 WKS,02.26.94
Jaded,Aerosmith,01.27.01,1,5 WKS,02.10.01
Amazing,Aerosmith,10.30.93,3,12 Wks,11.13.93
I Don't Want To Miss A Thing,Aerosmith,05.30.98,4,12 Wks,07.11.98
What Kind Of Love Are You On,Aerosmith,07.25.98,4,12 Wks,10.10.98
Livin' On The Edge,Aerosmith,04.10.93,1,9 WKS,04.10.93
Cryin',Aerosmith,06.05.93,1,6 WKS,07.17.93
Taste Of India,Aerosmith,12.13.97,3,12 Wks,02.14.98
What It Takes,Aerosmith,01.13.90,1,1 WKS,02.24.90
Janie's Got A Gun,Aerosmith,09.23.89,2,12 Wks,11.04.89
Eat The Rich,Aerosmith,05.01.93,5,12 Wks,06.05.93
Rag Doll,Aerosmith,09.12.87,12,12 Wks,11.07.87
"Baby, Please Don't Go",Aerosmith,03.20.04,7,12 Wks,04.10.04
Sweet Emotion,Aerosmith,12.07.91,36,12 Wks,12.14.91
Hole In My Soul,Aerosmith,05.10.97,4,12 Wks,07.19.97
The Other Side,Aerosmith,06.16.90,1,2 WKS,07.28.90
Blind Man,Aerosmith,11.05.94,3,12 Wks,12.10.94
Just Push Play,Aerosmith,05.05.01,10,12 Wks,06.30.01
Devil's Got A New Disguise,Aerosmith,09.30.06,15,12 Wks,11.04.06
Legendary Child,Aerosmith,06.09.12,17,12 Wks,07.07.12
Angel's Eye,Aerosmith,10.28.00,4,12 Wks,12.16.00
Crazy,Aerosmith,05.21.94,7,12 Wks,07.02.94
Angel,Aerosmith,01.30.88,2,12 Wks,03.05.88
Chip Away The Stone,Aerosmith,11.26.88,13,12 Wks,01.14.89
Hang Man Jury,Aerosmith,11.14.87,14,12 Wks,12.26.87
Love In An Elevator,Aerosmith,09.02.89,1,2 WKS,10.07.89
Girls Of Summer,Aerosmith,06.01.02,25,12 Wks,06.29.02
Dude (Looks Like A Lady),Aerosmith,08.29.87,4,12 Wks,09.05.87
Sunshine,Aerosmith,10.27.01,23,12 Wks,11.17.01
Let The Music Do The Talking,Aerosmith,11.02.85,18,12 Wks,11.23.85
Sheila,Aerosmith,12.21.85,20,12 Wks,02.01.86
Fever,Aerosmith,09.04.93,5,12 Wks,10.02.93
LIGHTNING STRIKES,Aerosmith,10.09.82,21,12 Wks,10.23.82
F.I.N.E.,Aerosmith,11.25.89,14,12 Wks,01.13.90
Monkey On My Back,Aerosmith,04.14.90,17,12 Wks,05.12.90
Lover Alot,Aerosmith,09.29.12,31,12 Wks,10.20.12
Walk On Water,Aerosmith,01.28.95,16,12 Wks,02.18.95
Love Me Two Times,Aerosmith,08.25.90,27,12 Wks,09.08.90
Helter Skelter,Aerosmith,11.16.91,21,12 Wks,11.16.91
Magic Touch,Aerosmith,05.21.88,42,12 Wks,06.04.88
Rockin' Pneumonia Boogie Woogie Flu,Aerosmith,01.23.88,44,12 Wks,01.23.88
Nine Lives,Aerosmith,04.19.97,37,12 Wks,04.19.97
SHAKIN',Eddie Money,07.24.82,9,12 Wks,09.25.82
The Love In Your Eyes,Eddie Money,12.10.88,1,1 WKS,02.04.89
Take Me Home Tonight,Eddie Money,08.09.86,1,2 WKS,09.20.86
I Wanna Go Back,Eddie Money,12.20.86,3,12 Wks,02.07.87
THINK I'm IN LOVE,Eddie Money,07.03.82,1,3 WKS,08.07.82
We Should Be Sleeping,Eddie Money,10.25.86,18,12 Wks,11.22.86
She Takes My Breath Away,Eddie Money,11.16.91,5,12 Wks,01.11.92
Walk On Water,Eddie Money,10.01.88,2,12 Wks,10.15.88
Peace In Our Time,Eddie Money,12.02.89,2,12 Wks,01.13.90
Endless Nights,Eddie Money,03.21.87,10,12 Wks,05.09.87
BIG CRASH,Eddie Money,11.26.83,17,12 Wks,12.24.83
Heaven In The Back Seat,Eddie Money,09.14.91,6,12 Wks,09.28.91
I'm Movin On,Eddie Money,09.29.84,25,12 Wks,10.27.84
Forget About Love,Eddie Money,02.18.89,36,12 Wks,03.04.89
Let Me In,Eddie Money,04.29.89,30,12 Wks,05.13.89
No Control,Eddie Money,08.07.82,60,12 Wks,08.07.82
Addicted To Love,Robert Palmer,02.15.86,1,2 WKS,03.22.86
Simply Irresistible,Robert Palmer,07.02.88,1,3 WKS,07.30.88
Hyperactive,Robert Palmer,05.03.86,21,12 Wks,06.07.86
You're Amazing,Robert Palmer,11.17.90,5,12 Wks,11.24.90
Life In Detail,Robert Palmer,03.10.90,7,12 Wks,04.14.90
Early In The Morning,Robert Palmer,09.03.88,40,12 Wks,09.17.88
I Didn't Mean To Turn You On,Robert Palmer,09.27.86,41,12 Wks,10.04.86
YOU ARE IN MY SYSTEM,Robert Palmer,06.18.83,33,12 Wks,06.25.83
SOME GUYS HAVE ALL THE LUCK,Robert Palmer,05.22.82,59,12 Wks,05.22.82
Patience,Chris Cornell,08.01.20,1,1 WKS,10.03.20
Heavy Is The Head,Zac Brown Band Featuring Chris Cornell,03.21.15,1,2 WKS,05.09.15
Nearly Forgot My Broken Heart,Chris Cornell,09.05.15,2,12 Wks,11.21.15
Sunshower,Chris Cornell,01.24.98,8,12 Wks,03.21.98
Can't Change Me,Chris Cornell,08.28.99,5,12 Wks,09.25.99
No Such Thing,Chris Cornell,04.14.07,33,12 Wks,04.28.07
Nothing Compares 2 U,Chris Cornell,05.21.16,34,12 Wks,05.21.16
Santa Monica (Watch The World Die),Everclear,12.23.95,1,3 WKS,03.16.96
Everything To Everyone,Everclear,09.27.97,15,12 Wks,10.25.97
I Will Buy You A New Life,Everclear,02.14.98,20,12 Wks,04.04.98
When It All Goes Wrong Again,Everclear,11.18.00,10,12 Wks,01.06.01
Wonderful,Everclear,06.17.00,28,12 Wks,07.29.00
Heartspark Dollarsign,Everclear,05.25.96,29,12 Wks,06.22.96
Father Of Mine,Everclear,08.22.98,29,12 Wks,09.19.98
The Boys Are Back In Town,Everclear,08.21.99,40,12 Wks,08.21.99
Just Pretend,Bad Omens,09.10.22,1,1 WKS,03.11.23
Like A Villain,Bad Omens,02.26.22,10,12 Wks,06.25.22
The Death Of Peace Of Mind,Bad Omens,05.27.23,2,12 Wks,09.23.23
Limits,Bad Omens,07.25.20,19,12 Wks,11.28.20
Never Know,Bad Omens,05.08.21,25,12 Wks,08.07.21
Missing You,John Waite,06.23.84,1,2 WKS,08.25.84
Tears,John Waite,08.25.84,8,12 Wks,10.13.84
CHANGE,John Waite,06.19.82,16,12 Wks,08.28.82
These Times Are Hard For Lovers,John Waite,06.13.87,6,12 Wks,07.11.87
Every Step Of The Way,John Waite,08.10.85,4,12 Wks,09.07.85
If Anybody Had A Heart,John Waite,06.28.86,24,12 Wks,07.12.86
Restless Heart,John Waite,02.09.85,28,12 Wks,03.02.85
Sara,Starship,12.14.85,12,12 Wks,02.08.86
We Built This City,Starship,09.07.85,1,1 WKS,10.12.85
It's Not Enough,Starship,08.05.89,10,12 Wks,09.02.89
It's Not Over ('til It's Over),Starship,06.27.87,9,12 Wks,07.25.87
Nothing's Gonna Stop Us Now,Starship,02.07.87,16,12 Wks,02.28.87
Tomorrow Doesn't Matter Tonight,Starship,04.26.86,25,12 Wks,05.17.86
Wild Again,Starship,12.17.88,30,12 Wks,01.21.89
THE ONE THING,INXS,03.19.83,2,12 Wks,05.28.83
Devil Inside,INXS,12.26.87,2,12 Wks,02.27.88
Disappear,INXS,11.03.90,6,12 Wks,01.05.91
Need You Tonight,INXS,10.24.87,12,12 Wks,12.12.87
Bitter Tears,INXS,02.02.91,4,12 Wks,03.16.91
What You Need,INXS,01.25.86,3,12 Wks,03.01.86
This Time,INXS,10.19.85,11,12 Wks,11.16.85
New Sensation,INXS,03.19.88,8,12 Wks,04.30.88
Never Tear Us Apart,INXS,08.13.88,5,12 Wks,09.24.88
Mystify,INXS,12.17.88,17,12 Wks,02.11.89
Don't Change,INXS,06.11.83,17,12 Wks,06.25.83
Not Enough Time,INXS,08.22.92,13,12 Wks,09.26.92
Listen Like Thieves,INXS,04.26.86,12,12 Wks,06.14.86
Suicide Blonde,INXS,09.08.90,1,4 WKS,09.15.90
Original Sin,INXS,03.31.84,43,12 Wks,04.21.84
Heaven Sent,INXS,07.11.92,4,12 Wks,08.08.92
Kiss The Dirt,INXS,08.16.86,24,12 Wks,09.06.86
Kick,INXS,06.18.88,33,12 Wks,07.09.88
I Send A Message,INXS,07.28.84,41,12 Wks,08.11.84
Shining Star,INXS,11.09.91,14,12 Wks,11.16.91
Elegantly Wasted,INXS,04.19.97,37,12 Wks,04.26.97
Cool The Engines,Boston,10.18.86,4,12 Wks,12.27.86
We're Ready,Boston,10.11.86,2,12 Wks,12.06.86
Can'tcha Say/ Still In Love,Boston,01.31.87,7,12 Wks,02.28.87
Amanda,Boston,09.27.86,1,3 WKS,10.11.86
I Need Your Love,Boston,06.04.94,4,12 Wks,06.11.94
Walk On Medley,Boston,07.30.94,14,12 Wks,08.27.94
Addicted To Pain,Alter Bridge,09.07.13,4,12 Wks,03.01.14
Open Your Eyes,Alter Bridge,07.10.04,2,12 Wks,09.25.04
Rise Today,Alter Bridge,08.18.07,3,12 Wks,12.22.07
Isolation,Alter Bridge,10.30.10,1,7 WKS,01.22.11
Ghost Of Days Gone By,Alter Bridge,04.30.11,4,12 Wks,08.13.11
Show Me A Leader,Alter Bridge,08.27.16,16,12 Wks,11.26.16
Wouldn't You Rather,Alter Bridge,07.13.19,18,12 Wks,10.05.19
Find The Real,Alter Bridge,12.04.04,7,12 Wks,02.26.05
Godspeed,Alter Bridge,01.25.20,24,12 Wks,03.28.20
Silver Tongue,Alter Bridge,08.27.22,27,12 Wks,10.29.22
My Champion,Alter Bridge,02.11.17,18,12 Wks,05.06.17
Native Son,Alter Bridge,10.31.20,32,12 Wks,01.09.21
Watch Over You,Alter Bridge,02.02.08,19,12 Wks,03.01.08
Holiday,Alter Bridge,01.28.23,22,12 Wks,03.04.23
Before Tomorrow Comes,Alter Bridge,05.17.08,29,12 Wks,06.07.08
Cry Of Achilles,Alter Bridge,05.17.14,27,12 Wks,06.28.14
Broken Wings,Alter Bridge,04.23.05,29,12 Wks,05.21.05
EVEN NOW,Bob Seger,01.15.83,2,12 Wks,02.05.83
Tryin' To Live My Life Without You,Bob Seger,09.12.81,2,12 Wks,10.03.81
Understanding,Bob Seger,10.13.84,5,12 Wks,11.03.84
Take A Chance,Bob Seger & The Silver Bullet Band,11.30.91,10,12 Wks,01.18.92
The Fire Inside,Bob Seger & The Silver Bullet Band,09.21.91,6,12 Wks,10.19.91
Landing In London (All I Think About Is You),3 Doors Down Featuring Bob Seger,12.24.05,32,12 Wks,01.28.06
Like A Rock,Bob Seger,04.19.86,1,2 WKS,05.17.86
Roll Me Away,Bob Seger & The Silver Bullet Band,01.15.83,13,12 Wks,01.22.83
BOOMTOWN BLUES,Bob Seger,01.22.83,11,12 Wks,02.12.83
The Aftermath,Bob Seger,06.14.86,9,12 Wks,08.02.86
Lock And Load,Bob Seger & The Silver Bullet Band,11.04.95,22,12 Wks,12.02.95
American Storm,Bob Seger,03.15.86,2,12 Wks,04.12.86
Shakedown,Bob Seger,05.23.87,1,4 WKS,06.06.87
It's You,Bob Seger,08.23.86,8,12 Wks,09.06.86
The Real Love,Bob Seger & The Silver Bullet Band,08.24.91,4,12 Wks,08.31.91
Fortunate Son,Bob Seger,03.22.86,9,12 Wks,04.12.86
Tightrope,Bob Seger,05.10.86,35,12 Wks,05.17.86
Hands In The Air,Bob Seger & The Silver Bullet Band,02.17.96,29,12 Wks,03.02.96
